task_num,rep,P_A,P_B,P_C,raw_response
4,3,0.7,0.2,0.1,"Choice: A
P(A): 0.7
P(B): 0.2
P(C): 0.1"
4,4,0.6,0.2,0.2,"Choice: A
P(A): 0.6
P(B): 0.2
P(C): 0.2"
4,5,0.7,0.2,0.1,"Choice: A
P(A): 0.7
P(B): 0.2
P(C): 0.1"
4,6,0.6,0.3,0.1,"Choice: A
P(A): 0.6
P(B): 0.3
P(C): 0.1"
4,7,0.6,0.3,0.1,"Choice: A
P(A): 0.6
P(B): 0.3
P(C): 0.1"
4,8,0.7,0.2,0.1,"Choice: A
P(A): 0.7
P(B): 0.2
P(C): 0.1"
4,9,0.7,0.2,0.1,"Choice: A
P(A): 0.7
P(B): 0.2
P(C): 0.1"
4,10,0.7,0.2,0.1,"Choice: A
P(A): 0.7
P(B): 0.2
P(C): 0.1"
5,1,0.2,0.6,0.2,"Choice: B
P(A): 0.2
P(B): 0.6
P(C): 0.2"
5,2,0.2,0.6,0.2,"Choice: B
P(A): 0.2
P(B): 0.6
P(C): 0.2"
5,3,0.2,0.7,0.1,"Choice: B
P(A): 0.2
P(B): 0.7
P(C): 0.1"
5,4,0.2,0.6,0.2,"Choice: B
P(A): 0.2
P(B): 0.6
P(C): 0.2"
5,5,0.2,0.7,0.1,"Choice: B
P(A): 0.2
P(B): 0.7
P(C): 0.1"
5,6,0.2,0.6,0.2,"Choice: B
P(A): 0.2
P(B): 0.6
P(C): 0.2"
5,7,0.2,0.6,0.2,"Choice: B
P(A): 0.2
P(B): 0.6
P(C): 0.2"
5,8,0.2,0.6,0.2,"Choice: B
P(A): 0.2
P(B): 0.6
P(C): 0.2"
5,9,0.2,0.6,0.2,"Choice: B
P(A): 0.2
P(B): 0.6
P(C): 0.2"
5,10,0.2,0.6,0.2,"Choice: B
P(A): 0.2
P(B): 0.6
P(C): 0.2"
6,1,0.7,0.2,0.1,"Choice: A
P(A): 0.7
P(B): 0.2
P(C): 0.1"
6,2,0.7,0.2,0.1,"Choice: A
P(A): 0.7
P(B): 0.2
P(C): 0.1"
6,3,0.7,0.2,0.1,"Choice: A
P(A): 0.7
P(B): 0.2
P(C): 0.1"
6,4,0.7,0.2,0.1,"Choice: A
P(A): 0.7
P(B): 0.2
P(C): 0.1"
6,5,0.7,0.2,0.1,"Choice: A
P(A): 0.7
P(B): 0.2
P(C): 0.1"
6,6,0.7,0.2,0.1,"Choice: A
P(A): 0.7
P(B): 0.2
P(C): 0.1"
6,7,0.7,0.2,0.1,"Choice: A
P(A): 0.7
P(B): 0.2
P(C): 0.1"
6,8,0.7,0.2,0.1,"Choice: A
P(A): 0.7
P(B): 0.2
P(C): 0.1"
6,9,0.7,0.2,0.1,"Choice: A
P(A): 0.7
P(B): 0.2
P(C): 0.1"
6,10,0.7,0.2,0.1,"Choice: A
P(A): 0.7
P(B): 0.2
P(C): 0.1"
