task_num,block_id,repetition,P_A,P_B,P_C,choice,prob_sum
7,2,6,0.6,0.3,0.1,,1.0
7,2,7,0.6,0.3,0.1,,1.0
7,2,8,0.6,0.3,0.1,,1.0
7,2,9,0.6,0.3,0.1,,1.0
7,2,10,0.45,0.35,0.2,,1.0
8,2,1,0.6,0.3,0.1,,1.0
8,2,2,0.4,0.3,0.3,,1.0
8,2,3,0.4,0.3,0.3,,1.0
8,2,4,0.5,0.3,0.2,,1.0
8,2,5,0.5,0.3,0.2,,1.0
8,2,6,0.4,0.35,0.25,,1.0
8,2,7,0.6,0.3,0.1,,1.0
8,2,8,0.6,0.2,0.2,,1.0
8,2,9,0.4,0.3,0.3,,1.0
8,2,10,0.4,0.35,0.25,,1.0
9,2,1,0.2,0.7,0.1,,1.0
9,2,2,0.2,0.7,0.1,,1.0
9,2,3,0.15,0.7,0.15,,1.0
9,2,4,0.2,0.7,0.1,,1.0
9,2,5,0.1794871794871795,0.717948717948718,0.10256410256410257,,0.975
9,2,6,0.1794871794871795,0.717948717948718,0.10256410256410257,,0.975
9,2,7,0.1,0.8,0.1,,1.0
9,2,8,0.1,0.75,0.15,,1.0
9,2,9,0.2,0.7,0.1,,1.0
9,2,10,0.15,0.75,0.1,,1.0
10,2,1,0.6,0.2,0.2,,1.0
10,2,2,0.6,0.3,0.1,,1.0
10,2,3,0.6,0.3,0.1,,1.0
10,2,4,0.6,0.3,0.1,,1.0
10,2,5,0.7,0.2,0.1,,1.0
10,2,6,0.6,0.3,0.1,,1.0
10,2,7,0.6,0.3,0.1,,1.0
10,2,8,0.6,0.3,0.1,,1.0
10,2,9,0.6,0.2,0.2,,1.0
10,2,10,0.7,0.2,0.1,,1.0
11,2,1,0.3,0.5,0.2,,1.0
11,2,2,0.4,0.5,0.1,,1.0
11,2,3,0.1,0.7,0.2,,1.0
11,2,4,0.3,0.5,0.2,,1.0
11,2,5,0.2,0.7,0.1,,1.0
11,2,6,0.2631578947368421,0.631578947368421,0.10526315789473685,,0.95
11,2,7,0.2,0.7,0.1,,1.0
11,2,8,0.4,0.5,0.1,,1.0
11,2,9,0.2631578947368421,0.631578947368421,0.10526315789473685,,0.95
11,2,10,0.2,0.7,0.1,,1.0
12,2,1,0.5,0.3,0.2,,1.0
12,2,2,0.4,0.35,0.25,,1.0
12,2,3,0.6,0.3,0.1,,1.0
12,2,4,0.6,0.3,0.1,,1.0
12,2,5,0.4,0.5,0.1,,1.0
12,2,6,0.6,0.3,0.1,,1.0
12,2,7,0.4,0.5,0.1,,1.0
12,2,8,0.6,0.3,0.1,,1.0
12,2,9,0.4,0.3,0.3,,1.0
12,2,10,0.4,0.3,0.3,,1.0
13,3,1,0.25,0.5,0.25,,1.0
13,3,2,0.25,0.6,0.15,,1.0
13,3,3,0.25,0.6,0.15,,1.0
13,3,4,0.2,0.6,0.2,,1.0
13,3,5,0.2,0.7,0.1,,1.0
13,3,6,0.35,0.45,0.2,,1.0
13,3,7,0.25,0.6,0.15,,1.0
13,3,8,0.3,0.6,0.1,,1.0
13,3,9,0.3,0.5,0.2,,1.0
13,3,10,0.25,0.6,0.15,,1.0
14,3,1,0.4,0.5,0.1,,1.0
14,3,2,0.3,0.5,0.2,,1.0
14,3,3,0.4,0.3,0.3,,1.0
14,3,4,0.3,0.5,0.2,,1.0
14,3,5,0.3,0.6,0.1,,1.0
14,3,6,0.4,0.5,0.1,,1.0
14,3,7,0.4,0.5,0.1,,1.0
14,3,8,0.4,0.5,0.1,,1.0
14,3,9,0.4,0.5,0.1,,1.0
14,3,10,0.4,0.35,0.25,,1.0
15,3,1,0.4,0.35,0.25,,1.0
15,3,2,0.6,0.3,0.1,,1.0
15,3,3,0.6,0.3,0.1,,1.0
15,3,4,0.6,0.35,0.05,,1.0
15,3,5,0.4,0.5,0.1,,1.0
15,3,6,0.6,0.3,0.1,,1.0
15,3,7,0.4,0.35,0.25,,1.0
15,3,8,0.4,0.3,0.3,,1.0
15,3,9,0.6,0.3,0.1,,1.0
15,3,10,0.6,0.3,0.1,,1.0
16,3,1,0.3,0.6,0.1,,1.0
16,3,2,0.3,0.6,0.1,,1.0
16,3,3,0.3,0.6,0.1,,1.0
16,3,4,0.25,0.65,0.1,,1.0
16,3,5,0.3,0.6,0.1,,1.0
16,3,6,0.1,0.8,0.1,,1.0
16,3,7,0.35,0.45,0.2,,1.0
16,3,8,0.3,0.6,0.1,,1.0
16,3,9,0.3,0.6,0.1,,1.0
16,3,10,0.3,0.6,0.1,,1.0
17,3,1,0.3,0.5,0.2,,1.0
17,3,2,0.3,0.5,0.2,,1.0
17,3,3,0.3,0.6,0.1,,1.0
17,3,4,0.3,0.5,0.2,,1.0
17,3,5,0.3,0.5,0.2,,1.0
17,3,6,0.3,0.5,0.2,,1.0
17,3,7,0.25,0.5,0.25,,1.0
17,3,8,0.3,0.5,0.2,,1.0
17,3,9,0.2,0.6,0.2,,1.0
17,3,10,0.3,0.5,0.2,,1.0
18,3,1,0.8,0.15,0.05,,1.0
18,3,2,0.7,0.2,0.1,,1.0
18,3,3,0.6,0.3,0.1,,1.0
18,3,4,0.7,0.2,0.1,,1.0
18,3,5,0.6,0.2,0.2,,1.0
18,3,6,0.6,0.3,0.1,,1.0
18,3,7,0.7,0.2,0.1,,1.0
18,3,8,0.7,0.2,0.1,,1.0
18,3,9,0.7,0.2,0.1,,1.0
18,3,10,0.7,0.2,0.1,,1.0
19,4,1,0.4,0.35,0.25,,1.0
19,4,2,0.4,0.35,0.25,,1.0
19,4,3,0.4,0.35,0.25,,1.0
19,4,4,0.4,0.35,0.25,,1.0
19,4,5,0.4,0.5,0.1,,1.0
19,4,6,0.4,0.5,0.1,,1.0
19,4,7,0.4,0.3,0.3,,1.0
19,4,8,0.4,0.3,0.3,,1.0
19,4,9,0.6,0.3,0.1,,1.0
19,4,10,0.4,0.3,0.3,,1.0
20,4,1,0.2,0.7,0.1,,1.0
20,4,2,0.2,0.7,0.1,,1.0
20,4,3,0.1,0.8,0.1,,1.0
20,4,4,0.1,0.8,0.1,,1.0
20,4,5,0.2,0.6,0.2,,1.0
20,4,6,0.3,0.6,0.1,,1.0
20,4,7,0.1,0.8,0.1,,1.0
20,4,8,0.1,0.75,0.15,,1.0
20,4,9,0.2,0.7,0.1,,1.0
20,4,10,0.2,0.7,0.1,,1.0
21,4,1,0.4,0.3,0.3,,1.0
21,4,2,0.4,0.35,0.25,,1.0
21,4,3,0.4,0.35,0.25,,1.0
21,4,4,0.4,0.3,0.3,,1.0
21,4,5,0.4,0.3,0.3,,1.0
21,4,6,0.4,0.3,0.3,,1.0
21,4,7,0.4,0.3,0.3,,1.0
21,4,8,0.5,0.3,0.2,,1.0
21,4,9,0.4,0.35,0.25,,1.0
21,4,10,0.6,0.3,0.1,,1.0
22,4,1,0.1,0.85,0.05,,1.0
22,4,2,0.1,0.8,0.1,,1.0
22,4,3,0.1,0.8,0.1,,1.0
22,4,4,0.1,0.8,0.1,,1.0
22,4,5,0.1,0.85,0.05,,1.0
22,4,6,0.1,0.8,0.1,,1.0
22,4,7,0.1,0.8,0.1,,1.0
22,4,8,0.1,0.85,0.05,,1.0
22,4,9,0.1,0.85,0.05,,1.0
22,4,10,0.1,0.8,0.1,,1.0
23,4,1,0.6,0.3,0.1,,1.0
23,4,2,0.6,0.3,0.1,,1.0
23,4,3,0.6,0.3,0.1,,1.0
23,4,4,0.6,0.3,0.1,,1.0
23,4,5,0.5,0.3,0.2,,1.0
23,4,6,0.6,0.3,0.1,,1.0
23,4,7,0.6,0.3,0.1,,1.0
23,4,8,0.6,0.3,0.1,,1.0
23,4,9,0.6,0.3,0.1,,1.0
23,4,10,0.6,0.3,0.1,,1.0
24,4,1,0.4,0.3,0.3,,1.0
24,4,2,0.4,0.5,0.1,,1.0
24,4,3,0.4,0.5,0.1,,1.0
24,4,4,0.5,0.3,0.2,,1.0
24,4,5,0.4,0.5,0.1,,1.0
24,4,6,0.6,0.3,0.1,,1.0
24,4,7,0.4,0.4,0.2,,1.0
24,4,8,0.6,0.3,0.1,,1.0
24,4,9,0.3,0.6,0.1,,1.0
24,4,10,0.4,0.35,0.25,,1.0
25,5,1,0.7,0.2,0.1,,1.0
25,5,2,0.7,0.2,0.1,,1.0
25,5,3,0.7,0.2,0.1,,1.0
25,5,4,0.6,0.3,0.1,,1.0
25,5,5,0.7,0.2,0.1,,1.0
25,5,6,0.6,0.25,0.15,,1.0
25,5,7,0.6,0.3,0.1,,1.0
25,5,8,0.6,0.2,0.2,,1.0
25,5,9,0.6,0.2,0.2,,1.0
25,5,10,0.6,0.3,0.1,,1.0
26,5,1,0.2,0.7,0.1,,1.0
26,5,2,0.25,0.5,0.25,,1.0
26,5,3,0.25,0.6,0.15,,1.0
26,5,4,0.35,0.45,0.2,,1.0
26,5,5,0.4330963154492566,0.5669036845507434,0.0,,1.5470000000000002
26,5,6,0.3,0.5,0.2,,1.0
26,5,7,0.3,0.5,0.2,,1.0
26,5,8,0.3,0.5,0.2,,1.0
26,5,9,0.25,0.45,0.3,,1.0
26,5,10,0.3,0.5,0.2,,1.0
27,5,1,0.2,0.7,0.1,,1.0
27,5,2,0.2,0.6,0.2,,1.0
27,5,3,0.2,0.6,0.2,,1.0
27,5,4,0.3,0.5,0.2,,1.0
27,5,5,0.25,0.5,0.25,,1.0
27,5,6,0.3,0.5,0.2,,1.0
27,5,7,0.2,0.6,0.2,,1.0
27,5,8,0.2,0.6,0.2,,1.0
27,5,9,0.3,0.5,0.2,,1.0
27,5,10,0.2,0.6,0.2,,1.0
28,5,1,0.6,0.3,0.1,,1.0
28,5,2,0.6,0.3,0.1,,1.0
28,5,3,0.979,0.018,0.003,,1.0
28,5,4,0.6,0.3,0.1,,1.0
28,5,5,0.6,0.3,0.1,,1.0
28,5,6,0.6,0.2,0.2,,1.0
28,5,7,0.6,0.3,0.1,,1.0
28,5,8,0.6,0.3,0.1,,1.0
28,5,9,0.6,0.3,0.1,,1.0
28,5,10,0.6,0.3,0.1,,1.0
29,5,1,0.6,0.3,0.1,,1.0
29,5,2,0.6,0.3,0.1,,1.0
29,5,3,0.6,0.3,0.1,,1.0
29,5,4,0.6,0.3,0.1,,1.0
29,5,5,0.7,0.2,0.1,,1.0
29,5,6,0.7,0.2,0.1,,1.0
29,5,7,0.6,0.3,0.1,,1.0
29,5,8,0.6,0.3,0.1,,1.0
29,5,9,0.6,0.3,0.1,,1.0
29,5,10,0.6,0.3,0.1,,1.0
30,5,1,0.45,0.35,0.2,,1.0
30,5,2,0.6,0.3,0.1,,1.0
30,5,3,0.6,0.3,0.1,,1.0
30,5,4,0.6,0.3,0.1,,1.0
30,5,5,0.6,0.3,0.1,,1.0
30,5,6,0.6,0.3,0.1,,1.0
30,5,7,0.45,0.35,0.2,,1.0
30,5,8,0.4,0.5,0.1,,1.0
30,5,9,0.45,0.35,0.2,,1.0
30,5,10,0.5,0.3,0.2,,1.0
31,6,1,0.5,0.3,0.2,,1.0
31,6,2,0.4,0.35,0.25,,1.0
31,6,3,0.5,0.3,0.2,,1.0
31,6,4,0.6,0.3,0.1,,1.0
31,6,5,0.5,0.3,0.2,,1.0
31,6,6,0.6,0.3,0.1,,1.0
31,6,7,0.5,0.3,0.2,,1.0
31,6,8,0.6,0.3,0.1,,1.0
31,6,9,0.4,0.35,0.25,,1.0
31,6,10,0.5,0.3,0.2,,1.0
32,6,1,0.6,0.3,0.1,,1.0
32,6,2,0.4,0.35,0.25,,1.0
32,6,3,0.6,0.3,0.1,,1.0
32,6,4,0.45,0.35,0.2,,1.0
32,6,5,0.5,0.3,0.2,,1.0
32,6,6,0.4,0.3,0.3,,1.0
32,6,7,0.6,0.3,0.1,,1.0
32,6,8,0.45,0.35,0.2,,1.0
32,6,9,0.4,0.5,0.1,,1.0
32,6,10,0.6,0.3,0.1,,1.0
33,6,1,0.4,0.5,0.1,,1.0
33,6,2,0.4,0.5,0.1,,1.0
33,6,3,0.4,0.35,0.25,,1.0
33,6,4,0.4,0.5,0.1,,1.0
33,6,5,0.45,0.35,0.2,,1.0
33,6,6,0.4,0.5,0.1,,1.0
33,6,7,0.3,0.5,0.2,,1.0
33,6,8,0.35,0.45,0.2,,1.0
33,6,9,0.40964912280701754,0.293859649122807,0.2964912280701754,,1.14
33,6,10,0.4,0.35,0.25,,1.0
34,6,1,0.7,0.2,0.1,,1.0
34,6,2,0.7,0.2,0.1,,1.0
34,6,3,0.7,0.15,0.15,,1.0
34,6,4,0.75,0.1,0.15,,1.0
34,6,5,0.8,0.1,0.1,,1.0
34,6,6,0.7,0.2,0.1,,1.0
34,6,7,0.717948717948718,0.1794871794871795,0.10256410256410257,,0.975
34,6,8,0.7,0.2,0.1,,1.0
34,6,9,0.8,0.15,0.05,,1.0
34,6,10,0.717948717948718,0.1794871794871795,0.10256410256410257,,0.975
35,6,1,0.45,0.45,0.1,,1.0
35,6,2,0.45,0.45,0.1,,1.0
35,6,3,0.45,0.45,0.1,,1.0
35,6,4,0.45,0.45,0.1,,1.0
35,6,5,0.45,0.45,0.1,,1.0
35,6,6,0.45,0.45,0.1,,1.0
35,6,7,0.45,0.45,0.1,,1.0
35,6,8,0.45,0.45,0.1,,1.0
35,6,9,0.45,0.45,0.1,,1.0
35,6,10,0.52,0.48,0.0,,1.0
36,6,1,0.2,0.7,0.1,,1.0
36,6,2,0.1,0.6,0.3,,1.0
36,6,3,0.1,0.7,0.2,,1.0
36,6,4,0.1,0.8,0.1,,1.0
36,6,5,0.2,0.7,0.1,,1.0
36,6,6,0.11111111111111113,0.7777777777777778,0.11111111111111113,,0.8999999999999999
36,6,7,0.1,0.8,0.1,,1.0
36,6,8,0.2,0.7,0.1,,1.0
36,6,9,0.1,0.8,0.1,,1.0
36,6,10,0.1,0.8,0.1,,1.0
37,7,1,0.2,0.7,0.1,,1.0
37,7,2,0.1,0.7,0.2,,1.0
37,7,3,0.2,0.7,0.1,,1.0
37,7,4,0.2,0.7,0.1,,1.0
37,7,5,0.1,0.8,0.1,,1.0
37,7,6,0.1,0.7,0.2,,1.0
37,7,7,0.15,0.7,0.15,,1.0
37,7,8,0.1,0.8,0.1,,1.0
37,7,9,0.1,0.8,0.1,,1.0
37,7,10,0.2,0.7,0.1,,1.0
38,7,1,0.6,0.3,0.1,,1.0
38,7,2,0.6,0.3,0.1,,1.0
38,7,3,0.6,0.3,0.1,,1.0
38,7,4,0.6,0.3,0.1,,1.0
38,7,5,0.5,0.3,0.2,,1.0
38,7,6,0.6,0.3,0.1,,1.0
38,7,7,0.6,0.3,0.1,,1.0
38,7,8,0.5,0.3,0.2,,1.0
38,7,9,0.7,0.2,0.1,,1.0
38,7,10,0.6,0.3,0.1,,1.0
39,7,1,0.4,0.35,0.25,,1.0
39,7,2,0.3,0.4,0.3,,1.0
39,7,3,0.4,0.35,0.25,,1.0
39,7,4,0.3,0.5,0.2,,1.0
39,7,5,0.4,0.35,0.25,,1.0
39,7,6,0.2,0.5,0.3,,1.0
39,7,7,0.4,0.5,0.1,,1.0
39,7,8,0.4,0.3,0.3,,1.0
39,7,9,0.5,0.3,0.2,,1.0
39,7,10,0.4,0.3,0.3,,1.0
40,7,1,0.4,0.35,0.25,,1.0
40,7,2,0.4,0.35,0.25,,1.0
40,7,3,0.45,0.35,0.2,,1.0
40,7,4,0.4,0.5,0.1,,1.0
40,7,5,0.4,0.3,0.3,,1.0
40,7,6,0.4,0.35,0.25,,1.0
40,7,7,0.6,0.3,0.1,,1.0
40,7,8,0.45,0.35,0.2,,1.0
40,7,9,0.4,0.3,0.3,,1.0
40,7,10,0.4,0.35,0.25,,1.0
41,7,1,0.2,0.7,0.1,,1.0
41,7,2,0.31998158379373853,0.44981583793738494,0.23020257826887663,,2.1719999999999997
41,7,3,0.2,0.6,0.2,,1.0
41,7,4,0.2,0.7,0.1,,1.0
41,7,5,0.25,0.6,0.15,,1.0
41,7,6,0.2,0.7,0.1,,1.0
41,7,7,0.2,0.7,0.1,,1.0
41,7,8,0.1,0.8,0.1,,1.0
41,7,9,0.2,0.7,0.1,,1.0
41,7,10,0.2,0.7,0.1,,1.0
42,7,1,0.2,0.6,0.2,,1.0
42,7,2,0.3,0.5,0.2,,1.0
42,7,3,0.15,0.7,0.15,,1.0
42,7,4,0.2,0.7,0.1,,1.0
42,7,5,0.01834862385321101,0.06422018348623852,0.9174311926605504,,10.9
42,7,6,0.3,0.5,0.2,,1.0
42,7,7,0.3,0.5,0.2,,1.0
42,7,8,0.25,0.5,0.25,,1.0
42,7,9,0.25,0.6,0.15,,1.0
42,7,10,0.25,0.65,0.1,,1.0
